Batch,Pageno,Company_Name,Website,LinkedIn
GA_10,2,Shopline,http://shoplineapp.com,N/A
GA_10,2,Lendsquare,http://lendsquare.com,N/A
GA_11,1,N/A,N/A,N/A
GA_11,1,N/A,N/A,N/A
GA_11,1,N/A,N/A,N/A
GA_12,1,Agfunder,http://agfunder.com,N/A
GA_12,1,Blueboard,http://www.blueboard.com,N/A
GA_12,1,Cheddar Up,http://www.cheddarup.com,N/A
GA_12,1,Edfa3ly,http://www.edfa3ly.com,https://www.linkedin.com/company/edfa3ly
GA_12,1,Growbots,http://www.growbots.com,N/A
GA_12,1,Hodl,http://www.hodl.mobi,N/A
GA_12,1,Innovaccer,http://innovaccer.com,N/A
GA_12,1,Linte,http://www.linte.com,N/A
GA_12,1,Rhythmos,http://rhythmos.io,https://www.linkedin.com/company/rhythmosio
GA_12,1,Speedlancer,http://speedlancer.com,N/A
GA_12,2,Yellowdig,http://www.yellowdig.co,N/A
GA_12,2,Backlotcars,http://backlotcars.com,N/A
GA_12,2,DCHQ,http://dchq.co,N/A
GA_12,2,Hexa,http://hexa.ai,N/A
GA_13,1,Crowdplat,http://crowdplat.com,N/A
GA_13,1,Current,http://getfishbit.com,N/A
GA_13,1,Glambot,http://www.glambot.com,N/A
GA_13,1,Gopillar,http://gopillar.com,N/A
GA_13,1,GreenWay Labs,http://greenwaylabs.com,N/A
GA_13,1,Linguatrip,http://linguatrip.com,N/A
GA_13,1,Omate,http://www.omate.com,N/A
GA_13,1,Pixc,http://pixc.com,N/A
GA_13,1,Publishizer,http://publishizer.com,https://www.linkedin.com/company/publishizer
GA_13,1,Transfercar,http://www.transfercar.co.nz,N/A
GA_13,2,Nodal Industries,http://nodalsecurity.com,N/A
GA_13,2,GlamSt,http://glamst.com,N/A
GA_13,2,ThriveCom,http://ringcaptcha.com,N/A
GA_13,2,Edools,http://edools.com,N/A
Egypt_Scale_Up1,1,Khazenly,http://khazenly.com,N/A
Egypt_Scale_Up1,1,Nowlun.com,http://www.nowlun.com,N/A
